ElectionYear,ElectionDate,StateAb,DivisionID,DivisionNm,Latitude,Longitude,PollingPlaceCount,CandidateName,PartyAb,PartyNm_clean,Elected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,PrePollShare,Swing,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing,TcpWinnerParty,TcpWinnerPartyAb,TcpMarginPct,InformalVotes,InformalPct,SwingZScore,SeatSafety
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Tom Sefton,LP,Liberal Party,False,39011,435,117,2057,2299,43919,0.047,0.66,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,0.053,Safe (>10%)
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Julie Melrose,GRN,The Greens,False,12858,287,45,866,635,14691,0.059,-5.89,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,-1.477,Safe (>10%)
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Tony Hanley,PUP,Palmer United Party,False,3370,64,13,146,132,3725,0.039,3.21,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,0.648,Safe (>10%)
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Damien Maher,BTA,Bullet Train For Australia,False,4166,103,14,260,213,4756,0.055,4.1,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,0.856,Safe (>10%)
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Gai Brodtmann,ALP,Australian Labor Party,True,42947,605,125,2034,1902,47613,0.043,-3.17,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,-0.842,Safe (>10%)
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Nicolle Burt,SPA,Secular Party of Australia,False,1074,21,6,65,98,1264,0.051,1.09,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,0.153,Safe (>10%)
2013,2013-09-07,ACT,101,Canberra,-35.36750168222222,149.09763599333334,45,Informal Informal,,Informal,False,4386,75,20,157,120,4758,0.033,-0.94,127359,120726,94.79,-0.07,Australian Labor Party,ALP,13.95,0,0.0,-0.321,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Darren Mark Churchill,DEM,Australian Democrats,False,2122,46,12,134,130,2444,0.055,1.95,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,0.354,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Elizabeth Lee,LP,Liberal Party,False,35162,428,71,1735,2297,39693,0.044,-0.79,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,-0.286,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Andrew Leigh,ALP,Australian Labor Party,True,50591,643,152,2289,2388,56063,0.041,-1.15,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,-0.37,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Freddy Alejandro Alcazar,PUP,Palmer United Party,False,2775,49,20,108,111,3063,0.035,2.44,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,0.469,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Jill Elizabeth Ross,RUA,Rise Up Australia Party,False,1353,23,6,47,79,1508,0.031,1.2,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,0.179,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Sam Huggins,BTA,Bullet Train For Australia,False,4505,75,16,249,254,5099,0.049,4.06,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,0.847,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Adam Verwey,GRN,The Greens,False,15583,244,39,1008,791,17665,0.057,-5.77,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,-1.449,Safe (>10%)
2013,2013-09-07,ACT,102,Fraser,-35.22638400612245,149.16556784489796,49,Informal Informal,,Informal,False,4437,76,21,171,154,4859,0.035,-0.7,137987,130394,94.5,0.11,Australian Labor Party,ALP,25.25,0,0.0,-0.265,Safe (>10%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Daryl Melham,ALP,Australian Labor Party,False,28900,1631,132,1610,2562,34835,0.046,-1.92,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,-0.55,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Jake John Wellham,PUP,Palmer United Party,False,1703,162,1,124,135,2125,0.058,2.5,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.483,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Sayed Khedr,IND,Independent,False,587,65,3,59,54,768,0.077,0.9,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.109,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Ross Richardson,KAP,Katter's Australian Party (KAP),False,414,27,1,59,52,553,0.107,0.65,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.05,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Paul Spight,GRN,The Greens,False,3323,311,11,289,308,4242,0.068,-4.61,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,-1.178,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Mark Falanga,CDP,Christian Democratic Party (Fred Nile Group),False,1608,118,9,99,149,1983,0.05,2.34,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.445,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Robert Michael Haddad,DLP,Democratic Labour Party (DLP),False,339,49,1,41,40,470,0.087,0.55,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.027,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,David Coleman,LP,Liberal Party,True,33135,1419,116,1551,3678,39899,0.039,1.49,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.247,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,103,Banks,-33.962309460465114,151.07827987674418,43,Informal Informal,,Informal,False,8225,474,42,299,334,9374,0.032,1.58,101490,94249,92.87,0.17,Liberal Party,LP,3.66,0,0.0,0.268,Fairly Marginal (2-6%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Edward Caruana,PUP,Palmer United Party,False,2572,197,16,207,122,3114,0.066,3.89,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.807,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Nickolas Varvaris,LP,Liberal Party,True,27926,1415,110,1512,2918,33881,0.045,1.68,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.291,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Michael Nagi,IND,Independent,False,2731,94,22,118,106,3071,0.038,3.84,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.796,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Perry Theo,ON,One Nation,False,525,47,8,47,59,686,0.069,0.86,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.1,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Steve Mcmahon,ALP,Australian Labor Party,False,27425,1326,130,1469,1995,32345,0.045,-8.05,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,-1.982,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Kylie Mary French,CDP,Christian Democratic Party (Fred Nile Group),False,1251,99,8,96,95,1549,0.062,1.94,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.352,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Jackie Brooker,GRN,The Greens,False,3701,351,27,351,358,4788,0.073,-4.87,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,-1.239,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Rodney Tim Wyse,KAP,Katter's Australian Party (KAP),False,458,45,1,22,41,567,0.039,0.71,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.065,Marginal (<2%)
2013,2013-09-07,NSW,104,Barton,-33.951678496226414,151.1297646509434,53,Informal Informal,,Informal,False,9866,427,50,274,331,10948,0.025,2.22,98663,90949,92.18,0.56,Liberal Party,LP,0.61,0,0.0,0.417,Marginal (<2%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,Lindsay Peters,GRN,The Greens,False,5880,488,26,449,611,7454,0.06,0.47,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,0.008,Safe (>10%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,Jason Yat-Sen Li,ALP,Australian Labor Party,False,24041,962,89,1353,2281,28726,0.047,-4.67,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,-1.192,Safe (>10%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,Julie Worsley,CDP,Christian Democratic Party (Fred Nile Group),False,1780,68,7,99,181,2135,0.046,0.28,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,-0.036,Safe (>10%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,Robert James Marks,PUP,Palmer United Party,False,1287,93,4,83,122,1589,0.052,1.8,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,0.319,Safe (>10%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,Lachlan Patrick Mccaffrey,DLP,Democratic Labour Party (DLP),False,470,36,3,48,60,617,0.078,0.7,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,0.062,Safe (>10%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,John Alexander,LP,Liberal Party,True,38541,1488,96,1886,4896,46907,0.04,4.46,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,0.94,Safe (>10%)
2013,2013-09-07,NSW,105,Bennelong,-33.800879981632654,151.10403748979593,49,John August,SPA,Secular Party of Australia,False,472,26,1,36,67,602,0.06,0.68,102508,95722,93.38,-0.14,Liberal Party,LP,15.54,0,0.0,0.058,Safe (>10%)
